clip_id,frame_index,method,output_status,wrong_part,box_quality,instance,note
holdout2-andra-and-billy,0,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,1,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,2,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,3,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,4,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,5,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,6,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,7,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,8,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,9,tail_grounded_v3a,no_output,,,,temporal_none
holdout2-andra-and-billy,10,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,11,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,12,tail_grounded_v3a,wrong_part,other,,,auto: box does not match any reference (or no tail visible)
holdout2-andra-and-billy,13,tail_grounded_v3a,wrong_part,other,,,auto: box does not match any reference (or no tail visible)
holdout2-andra-and-billy,14,tail_grounded_v3a,wrong_part,other,,,auto: box does not match any reference (or no tail visible)
holdout2-andra-and-billy,15,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,16,tail_grounded_v3a,no_output,,,,all_look_like_paw
holdout2-andra-and-billy,17,tail_grounded_v3a,wrong_part,other,unusable,,override: small mask on the ground in front of the cat's face (leaf / forepaw); the tail lies to the right
holdout2-andra-and-billy,18,tail_grounded_v3a,wrong_part,other,unusable,,override: small mask on the ground in front of the cat's face (leaf / forepaw); the tail lies to the right
holdout2-andra-and-billy,19,tail_grounded_v3a,wrong_part,other,unusable,,override: small mask on the ground in front of the cat's face (leaf / forepaw); the tail lies to the right
holdout2-andra-and-billy,20,tail_grounded_v3a,wrong_part,other,unusable,,override: small mask on the ground in front of the cat's face (leaf / forepaw); the tail lies to the right
holdout2-andra-and-billy,21,tail_grounded_v3a,wrong_part,other,unusable,,override: small mask on the ground in front of the cat's face (leaf / forepaw); the tail lies to the right
holdout2-andra-and-billy,22,tail_grounded_v3a,wrong_part,other,unusable,,override: small mask on the ground in front of the cat's face (leaf / forepaw); the tail lies to the right
holdout2-andra-and-billy,23,tail_grounded_v3a,correct,,usable,target,
holdout2-andra-and-billy,24,tail_grounded_v3a,correct,other,partial,,override: propagated mask on the tail dropping to the right (blind box roughly there; auto-match failed)
holdout2-andra-and-billy,25,tail_grounded_v3a,no_output,,,,temporal_none
holdout2-andra-and-billy,26,tail_grounded_v3a,no_output,,,,no_tail_box
holdout2-andra-and-billy,27,tail_grounded_v3a,no_output,,,,temporal_none
holdout2-andra-and-billy,28,tail_grounded_v3a,no_output,,,,temporal_none
holdout2-andra-and-billy,29,tail_grounded_v3a,no_output,,,,temporal_none
holdout2-andra-and-billy,30,tail_grounded_v3a,no_output,,,,temporal_none
holdout2-andra-and-billy,31,tail_grounded_v3a,no_output,,,,temporal_none
holdout2-andra-and-billy,32,tail_grounded_v3a,no_output,,,,temporal_none
holdout2-andra-and-billy,33,tail_grounded_v3a,no_output,,,,no_cat
holdout2-andra-and-billy,34,tail_grounded_v3a,wrong_part,other,,,auto: box does not match any reference (or no tail visible)
holdout2-andra-and-billy,35,tail_grounded_v3a,wrong_part,paw,unusable,,override: mask on the forepaws of the walking cat
holdout2-andra-and-billy,36,tail_grounded_v3a,wrong_part,paw,unusable,,override: mask on the forepaws of the walking cat
holdout2-andra-and-billy,37,tail_grounded_v3a,wrong_part,paw,unusable,,override: mask on the forepaws of the walking cat
holdout2-andra-and-billy,38,tail_grounded_v3a,wrong_part,paw,unusable,,override: mask on the forepaws of the walking cat
holdout2-andra-and-billy,39,tail_grounded_v3a,wrong_part,paw,unusable,,override: mask on the forepaws of the walking cat
holdout2-cat-spied-on,0,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,1,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,2,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,3,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,4,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,5,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,6,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,7,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,8,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,9,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,10,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,11,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,12,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,13,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,14,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,15,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,16,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,17,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,18,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,19,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,20,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,21,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,22,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,23,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,24,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,25,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,26,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,27,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,28,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,29,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,30,tail_grounded_v3a,no_output,,,,no_cat
holdout2-cat-spied-on,31,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,0,tail_grounded_v3a,no_output,,,,no_tail_box
holdout2-dierenasyl,1,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,2,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,3,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,4,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,5,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,6,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,7,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,8,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,9,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,10,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,11,tail_grounded_v3a,no_output,,,,no_cat
holdout2-dierenasyl,12,tail_grounded_v3a,no_output,,,,no_cat
