clip_id,frame_index,method,output_status,wrong_part,box_quality,reason
commons-black-cat-walking,7,tail_grounded_v1+dense,correct,,usable,dense box on the tail; IoU with reference low because the reference box spans body+tail
commons-black-cat-walking,18,tail_grounded_v1+dense,correct,,usable,dense box on the tail; different extent from reference
commons-black-cat-walking,20,tail_grounded_v1+dense,correct,,usable,dense box on the tail base; reference is the same region at a different extent
commons-black-cat-walking,21,tail_grounded_v1+dense,correct,,usable,dense box on the tail tip; reference spans the full tail
commons-black-cat-walking,32,tail_grounded_v1+dense,correct,,partial,dense box on the tail tip
commons-cat-plays,19,tail_grounded_v1+dense,correct,,partial,dense box on the tail tip; reference spans the curl
commons-black-cat-walking,7,v1_time_normalised+dense,correct,,usable,as tail_grounded_v1+dense
commons-black-cat-walking,18,v1_time_normalised+dense,correct,,usable,as tail_grounded_v1+dense
commons-black-cat-walking,20,v1_time_normalised+dense,correct,,usable,as tail_grounded_v1+dense
commons-black-cat-walking,21,v1_time_normalised+dense,correct,,usable,as tail_grounded_v1+dense
commons-cat-plays,19,v1_time_normalised+dense,correct,,partial,as tail_grounded_v1+dense
commons-cat-plays,4,tail_grounded_v2,correct,,partial,propagated mask lies on the tail (checked on the overlay 2026-09-14); curve bbox smaller than reference
commons-cat-jumping-backwards,6,tail_grounded_v2,correct,,partial,propagated mask lies on the tuxedo tail (checked 2026-09-14)
commons-cat-plays,6,tail_grounded_v1,wrong_part,paw,unusable,white hind paw
commons-cat-plays,6,tail_grounded,wrong_part,paw,unusable,white hind paw
commons-cat-plays,6,tail_grounded_v2,wrong_part,paw,unusable,white hind paw
commons-black-cat-walking,0,tail_grounded_v1,wrong_part,torso,unusable,tail hidden behind the frontal body; box on the back
commons-black-cat-walking,0,tail_grounded_v2,wrong_part,torso,unusable,as v1
commons-black-cat-walking,0,tail_grounded,wrong_part,ear,unusable,v0 grounded the ear (found 2026-09-20)
commons-cat-plays,4,v2b_left,correct,,partial,as tail_grounded_v2 (reach-1 propagated mask on the tail)
commons-cat-jumping-backwards,6,v2b_left,correct,,partial,as tail_grounded_v2
commons-black-cat-walking,32,v2b_left,correct,,partial,bidirectional mask on the tail tip above the back (checked 2026-09-20)
commons-black-cat-walking,0,v2b_left,wrong_part,torso,unusable,as v1
commons-cat-plays,6,v2b_left,wrong_part,paw,unusable,white hind paw
commons-cat-plays,4,v2b_right,correct,,partial,as tail_grounded_v2 (reach-1 propagated mask on the tail)
commons-cat-jumping-backwards,6,v2b_right,correct,,partial,as tail_grounded_v2
commons-black-cat-walking,32,v2b_right,correct,,partial,bidirectional mask on the tail tip above the back (checked 2026-09-20)
commons-black-cat-walking,0,v2b_right,wrong_part,torso,unusable,as v1
commons-cat-plays,6,v2b_right,wrong_part,paw,unusable,white hind paw
commons-cat-plays,4,v2b_intersection,correct,,partial,as tail_grounded_v2 (reach-1 propagated mask on the tail)
commons-cat-jumping-backwards,6,v2b_intersection,correct,,partial,as tail_grounded_v2
commons-black-cat-walking,32,v2b_intersection,correct,,partial,bidirectional mask on the tail tip above the back (checked 2026-09-20)
commons-black-cat-walking,0,v2b_intersection,wrong_part,torso,unusable,as v1
commons-cat-plays,6,v2b_intersection,wrong_part,paw,unusable,white hind paw
commons-cat-plays,4,v2b_union,correct,,partial,as tail_grounded_v2 (reach-1 propagated mask on the tail)
commons-cat-jumping-backwards,6,v2b_union,correct,,partial,as tail_grounded_v2
commons-black-cat-walking,32,v2b_union,correct,,partial,bidirectional mask on the tail tip above the back (checked 2026-09-20)
commons-black-cat-walking,0,v2b_union,wrong_part,torso,unusable,as v1
commons-cat-plays,6,v2b_union,wrong_part,paw,unusable,white hind paw
commons-cat-plays,4,tail_grounded_v3,correct,,partial,as tail_grounded_v2
commons-cat-jumping-backwards,6,tail_grounded_v3,correct,,partial,as tail_grounded_v2
commons-black-cat-walking,32,tail_grounded_v3,correct,,partial,as v2b_intersection
commons-black-cat-walking,0,tail_grounded_v3,wrong_part,torso,unusable,as v1
commons-cat-plays,6,tail_grounded_v3,wrong_part,paw,unusable,white hind paw
commons-cat-plays,4,tail_grounded_v4,correct,,partial,same mask as tail_grounded_v2 (one-sided from f005; checked on the v4 overlay 2026-09-20)
commons-black-cat-walking,32,tail_grounded_v4,correct,,partial,same intersection mask as v2b_intersection
commons-black-cat-walking,0,tail_grounded_v4,wrong_part,torso,unusable,as v1
commons-cat-plays,6,tail_grounded_v4,wrong_part,paw,unusable,white hind paw
commons-cat-jumping-backwards,2,tail_grounded_v4,correct,,usable,tracked mask lies on the tabby tail (checked on the v4 overlay 2026-09-20); curve-extent box contains 0.796 of the reference just under the 0.8 rule
commons-cat-plays,0,tail_grounded_v4,wrong_part,hind_leg,unusable,tracked mask on the black hind leg ending in the white paw (checked 2026-09-20)
commons-cat-plays,1,tail_grounded_v4,wrong_part,hind_leg,unusable,as f000
commons-cat-plays,2,tail_grounded_v4,wrong_part,hind_leg,unusable,as f000
commons-cat-plays,3,tail_grounded_v4,wrong_part,hind_leg,unusable,as f000
commons-cat-plays,15,tail_grounded_v4,wrong_part,hind_leg,unusable,tracked mask on a leg (checked 2026-09-20)
commons-cat-plays,16,tail_grounded_v4,wrong_part,hind_leg,unusable,as f015
commons-cat-plays,17,tail_grounded_v4,wrong_part,hind_leg,unusable,as f015
commons-cat-plays,18,tail_grounded_v4,wrong_part,hind_leg,unusable,as f015
